Time_solar,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour,Date - Time ,Time_wind,Air Density,Wind Speed ,Power Generation ,clearness_index_kt,wind_power_coefficient_cp,complementarity_index,total_renewable_power,renewable_capacity_factor,solar_efficiency,wind_power_per_speed,day_of_week,day_of_year,month,week_of_year,hour_sin,hour_cos,day_sin,day_cos,solar_lag_1,solar_lag_2,solar_lag_3,solar_lag_6,solar_lag_12,solar_lag_24,wind_lag_1,wind_lag_2,wind_lag_3,wind_lag_6,wind_lag_12,wind_lag_24,solar_rolling_mean_6h,solar_rolling_std_6h,wind_rolling_mean_6h,wind_rolling_std_6h,solar_rate_of_change,solar_volatility,wind_rate_of_change,wind_volatility,total_rate_of_change,total_volatility
1565,19.147,0.013,26.483,83.059,267.945,2019-08-05 04:00:00,4.0,,1565,1.124,6.893,1638.585,0.0,0.593,0.6801891984838937,1906.53,0.2302668964230425,1.0,237.71721489667564,0,217,8,32,0.8660254037844386,0.5000000000000001,-0.5595892624101763,-0.828770087174504,0.0,0.0,0.0,0.0,1561.839,50.24,1683.847,1724.752,1815.825,2421.029,495.078,34.08,44.657499999999544,109.38808818849596,1860.672166666667,253.50858327511523,267.945,267.945,-45.261999999999944,45.261999999999944,222.683,222.683
1566,20.492,0.014,131.799,297.323,955.027,2019-08-05 05:00:00,5.0,,1566,1.123,6.314,1280.389,0.0,0.593,0.9348197810352943,2235.416,0.2699890925054481,1.0,202.7856821688815,0,217,8,32,0.9659258262890683,0.25881904510252074,-0.5595892624101763,-0.828770087174504,267.945,0.0,0.0,0.0,758.319,359.353,1638.585,1683.847,1724.752,2312.134,471.717,13.743,203.8286666666662,383.29997172540874,1688.7146666666667,235.2987397727742,687.0820000000001,687.0820000000001,-358.19600000000014,358.19600000000014,328.8860000000002,328.8860000000002
1567,22.389,0.014,276.576,515.625,2076.199,2019-08-05 06:00:00,6.0,,1567,1.122,5.826,1012.903,0.0,0.593,0.7243922493561679,3089.102,0.3730955874149441,1.0,173.8590501443443,0,217,8,32,1.0,6.123233995736766e-17,-0.5595892624101763,-0.828770087174504,955.027,267.945,0.0,0.0,131.022,1141.214,1280.389,1638.585,1683.847,1988.89,750.776,3.353,549.8618333333329,834.3123116453427,1526.0501666666669,311.34714560849176,1121.172,1121.172,-267.4859999999999,267.4859999999999,853.6859999999997,853.6859999999997
1568,24.361,0.014,424.193,718.636,2759.581,2019-08-05 07:00:00,7.0,,1568,1.123,6.065,1139.937,1.0,0.593,0.5850392187880322,3899.518,0.4709760178994245,1.0,187.95330783952053,0,217,8,32,0.9659258262890683,-0.25881904510252063,-0.5595892624101763,-0.828770087174504,2076.199,955.027,267.945,0.0,0.0,1997.525,1012.903,1280.389,1638.585,1815.825,1210.247,9.633,1009.7919999999995,1165.476844671924,1413.4021666666667,307.7861976790954,683.3820000000001,683.3820000000001,127.03399999999988,127.03399999999988,810.4160000000002,810.4160000000002
1569,26.036,0.015,554.19,892.511,2949.098,2019-08-05 08:00:00,8.0,,1569,1.125,6.283,1262.594,0.8108119958876199,0.593,0.5669988302816287,4211.692,0.5086797719048516,1.0,200.95397088111238,0,217,8,32,0.8660254037844387,-0.4999999999999998,-0.5595892624101763,-0.828770087174504,2759.581,2076.199,955.027,0.0,0.0,2438.232,1139.937,1012.903,1280.389,1724.752,1801.278,24.096,1501.3083333333327,1271.4856994951556,1336.3758333333335,269.7657375074808,189.51699999999983,189.51699999999983,122.65700000000015,122.65700000000015,312.174,312.174
1570,27.272,0.014,648.986,1025.356,3098.942,2019-08-05 09:00:00,9.0,,1570,1.127,6.413,1339.619,0.6714007330217713,0.593,0.548031824819186,4438.561,0.5360805579006656,1.0,208.8911260110516,0,217,8,32,0.7071067811865476,-0.7071067811865475,-0.5595892624101763,-0.828770087174504,2949.098,2759.581,2076.199,0.0,0.0,2606.624,1262.594,1139.937,1012.903,1683.847,2275.572,116.103,2017.7986666666663,1164.5868327156545,1279.0045000000002,211.37324939520676,149.84400000000005,149.84400000000005,77.02499999999986,77.02499999999986,226.8689999999997,226.8689999999997
1571,28.058,0.014,691.65,1108.104,3086.138,2019-08-05 10:00:00,10.0,,1571,1.131,6.393,1326.416,0.5842345476923141,0.593,0.5480919990836288,4412.554,0.5329394842352766,1.0,207.47939817309586,0,217,8,32,0.49999999999999994,-0.8660254037844387,-0.5595892624101763,-0.828770087174504,3098.942,2949.098,2759.581,267.945,0.0,2765.163,1339.619,1262.594,1139.937,1638.585,2421.029,289.016,2487.4974999999995,841.0673655380457,1226.9763333333335,126.57123400779034,-12.804000000000087,12.804000000000087,-13.202999999999975,13.202999999999975,-26.006999999999607,26.006999999999607
1572,28.557,0.015,690.208,1135.117,3051.879,2019-08-05 11:00:00,11.0,,1572,1.135,6.328,1292.615,0.5227182892372529,0.593,0.5486125599378218,4344.494,0.5247193329811383,1.0,204.2690890851629,0,217,8,32,0.258819045102521,-0.9659258262890682,-0.5595892624101763,-0.828770087174504,3086.138,3098.942,2949.098,955.027,0.0,2908.31,1326.416,1339.619,1262.594,1280.389,2312.134,379.701,2836.972833333333,393.5058219103903,1229.0140000000001,127.69651168292799,-34.259000000000015,34.259000000000015,-33.80099999999993,33.80099999999993,-68.0600000000004,68.0600000000004
1573,28.434,0.015,637.698,1104.544,2456.005,2019-08-05 12:00:00,12.0,,1573,1.139,5.881,1041.469,0.4664945131920303,0.593,0.6370361858289462,3497.474,0.4224179442758751,1.0,177.09043069368633,0,217,8,32,1.2246467991473532e-16,-1.0,-0.5595892624101763,-0.828770087174504,3051.879,3086.138,3098.942,2076.199,0.0,2965.533,1292.615,1326.416,1339.619,1012.903,1988.89,506.194,2900.2738333333327,251.6154702441231,1233.775,118.20757628675148,-595.8739999999998,595.8739999999998,-251.14599999999996,251.14599999999996,-847.0199999999995,847.0199999999995
1574,27.477,0.015,540.292,1018.415,1337.736,2019-08-05 13:00:00,13.0,,1574,1.142,4.956,614.566,0.4091817393141979,0.593,0.8134486083502847,1952.3020000000001,0.23579514742516441,1.0,124.00441404269289,0,217,8,32,-0.2588190451025208,-0.9659258262890683,-0.5595892624101763,-0.828770087174504,2456.005,3051.879,3086.138,2759.581,0.0,3154.942,1041.469,1292.615,1326.416,1139.937,1815.825,696.479,2663.2996666666663,693.0138811846941,1146.2131666666667,282.3037098427058,-1118.269,1118.269,-426.903,426.903,-1545.172,1545.172
